comment|label|
카카오맵 별점이 유독 짜더라고요 ㅋㅋ|G|
카카오맵 은근히 유용한 기능이 많더라고요! 특히 지하철 승하차 알림 진짜... 안 지 얼마 안되었는데 진짜 유용하더라고요지하철에서 이어폰을 많이 쓰는 저한테는 더더욱 도움이 되었던.!!!|G|
제주 살아서 초정밀 버스 지원 되는데, 버그들이 좀 있지만 굉장히 유용해서 좋습니다!|G|
저는 잇섭님께서 언젠가 구글 지도, 애플 지도를 다뤄주시길 기다리고 있습니다… 물론 이번 영상도 잘 봤습니다!|G|
카카오맵 승하차 알림이 진짜 개편함 몇년전에 벨모양 우연히 눌러서 처음 알게됐는데 버스탈때 ㅈㄴ 유용함|G|
01:14 갤럭시 유저의 경우 워치와 휴대폰이 연동되어서 더 편하게 쓸 수도 있습니다! 최근 카카오맵 갤럭시 워치 어플이 새로 생겼거든요. 휴대폰에서 승하차 알람 설정해두면 휴대폰에서 다른 걸 해도 워치에서 알람을 주니까 놓치지 않게 되더라구요|G|
형 해외 살다가 곧 여름에 한국으로 다시 가는데 지도앱을 뭐 쓸까? 이러고 있었는데 형 덕분에 많은 도움이 될 것 같아! 고마워❤|G|
카카오맵 솔직히 버스 안타던 입장으로써 버스 노선만 알려주는거만 해도 goat임 미쳤음|G|
구글맵 한국 서비스나 됬으면 좋겠다...|G|
이 영상 덕에 카카오맵으로 갈아탑니다…!|G|
7:45 별점관련해서 저렇게 해두는게 좋다고 느낀게..국내에서 여행가서 밥집 찾다가 아쉬운적이 많은데. 일본가면 다들 별점을 짜게 줘서 그런지타베로그 2.5만 넘어도 맛집이라 믿고 가서 좋았던거같네용..|G|
나만 알고 있었는데.. 형 덕분에 모두가 알게됐네......(네이버 쓰다가 화나서 카카오로 갈아탄 사람 입니다)|G|
카카오맵 쪽은 아니지만 카카오에서 일하고 있는 개발자입니다. 잇섭에서 뜬금 회사 이름이 붙어있어서 반가운 맘에 바로 눌렀네요😂😂😂 카카오맵 애용해주셔서 감사합니다~|G|
카카오맵 저를 포함해 정말 많은 분들이 사용하시는 걸로 알고 있는데 그에 대한 꿀팁이라니 오늘 정말 유용한 팁들 많이 얻어 갈 수 있을 것 같습니다.|B|
3:54 약속시간을 정한다기보단 위치 공유를 유지하는 시간으로 보시면 됩니다 행님 😉춘천시민으로써 초정밀 버스 개꿀👍|G|
와이프 보기 전에 영상 내려주세요.|G|
구글처럼 이동경로 히스토리도 만들어 주세요내가 이날 어디 갔고 그날 어디서 멀 먹었으며그날 누구랑 만났고 무슨 일을 했는지 지도에 기록 하고 싶어요.|B|
제목에서 광고의 느낌이 났다!!|B|
왜 꿀팁은 항상 숨겨져있을까… 공개되면 안되나 ㅎㅎ|G|
