comment|label
ㄹㅇ 말도안되긴하는데 한국에서 좋은영감 받고 한국 풍경도 신카이마코토 작품에서 볼수있었으면 좋겠다|G
300만이 된다면 수도권 뿐만 아니라 지방에도 오시면 좋겠어요! 화이팅🎉|G
내한 오셨을때 감독님이 이번에도 한국에 와 있는동안 영감을 얻어가면 좋겠다 라고 하신거 같은데 다음 작품이 벌써 기대되네요300만 될거같은데 한번더 오시죠 감독님|G
감독님 자체가 너무 매력적이라 팬이 될 수밖에 없습니다 ㅋㅋ 뭔가 커여우시고 달변가이신데다, 철학도 있으시고 의외로 유머감각도 좋으셔서 정말 좋아하는 감독님!|G
신카이 마코토는 신이다|G
감독 자체도 연기가 수준급이고 목소이도 성우에 잘어울림 ㅋㅋ 대단한 감독임 진짜|B
시골? 까지는 아니지만 경주을 추천해봅니다. 2016년 지진으로 피해를 입어서 영화와 같은 슬픔을 가지고 있는 곳임과 동시에 문화재가 어딜가나 발에 치이는 곳이라 한국스러움을 느끼기에도 정말 적합한 장소가 아닐까 생각해요.|B
6:20 와 ㄷㄷ 너의 이름은때도 배우 쓴걸로 알고 있는데 이번에도..ㄷㄷ근데 더빙 진짜 잘하신...당연히 성우일줄 알았는데 배우였네...|G
신카이 마코토님 진짜 존경스럽습니다 진짜 2026-7년에 또 신작이 나올텐데 기다리고 있겠습니다 벌써 보고 싶어요 ㅠㅠㅠㅠ|G
작품에 대한 호불호를 떠나서 신카이 마코토 감독의 작품은 작화며 음악이며 진짜 정성을 다해 만들었다는 느낌이 강한 건 누구나 다 인정할 듯.. 모든 창작자들이 배워야 한다.|G
현재 올해 최단기간 백만돌파기록. 신감독 한번 더 와야겠네.ㅎㅎ|G
500만도 쌉가능 작품이 너무 뛰어남|G
드라마 도깨비를 보고 문이라는 소재를 활용할 생각을 하셨군요 저는 그저 재밌게 보기만 했는데 신카이 마코토 감독님은 그냥 지나치지 않았네요 벌써부터 스즈메의 문단속 후속작이 기대가 되고 배우 분의 스즈메 연기 또한 훌륭했어요|G
좀더 작품좀 만들어주세요 ㅠㅠ 감독님 최고임|G
무대인사 때 봤는데 하라 나노카 성우님 진짜 엄청난 미인..! 이셨습니다 두 분 연기도 진짜 넋놓고 봤는데.. 영화가 잘 돼서 기분 좋네요|G
남양주도 좋지만 춘천도 좋을 것 같습니다. 한적한 시골은 아니지만 춘천 외곽엔 한적한 동네도 많고 여러 강줄기와 호수많고  전경도 이뻐서 배경으로 쓰기도 괜찮을 것 같아서  추천드립니다.|G
일녀가 미래다|G
아아아ㅏㅏㅏㅏ 나노카님 너무 귀엽당 ㅜㅜㅜ. 얼른 300만 돼서 두 분 다 한국 다시 오셨으면 좋겠어요💕|G
남주 소타도 오면 참 좋겠네요..|G
300만 쉽게 넘겠는데요 또 오셔야할 듯 ^^|G
남해, 통영 쪽 추천드립니다! 원래도 멋진데 예쁘게 잘 그려주실거 같아요ㅎㅎ|G
감독님도 성우님도 너무 재미있으시고 포근포근한 느낌이여서 그런지, 비하인드를 알게 되어서인지 작품에 더욱 이입할 수 있을거 같아요!|G
와 진짜 한번 오셔서 인터뷰를 얼마나 찍으시는 겁니까....진짜 감사합니다 고마워요..!|G
다음작품에 한국배경도.나오면좋겠어요❤|G
감독님의 상냥함 능력 존경합니다❤|G
남양주시 사는 시민으로서 기분이 좋네요|G
경주 진짜 강력 추천합니다.거기 가 보시면 영감 엄청 많이 받으실 거에요|G
보는중 입니다.소타 좋아요.귀여워요.|G
하라 나노카 성우님 귀여워요!|G
신카이 되게 동안이네 ㄷㄷ 50대같지 않아|G
결국 또 오시겠네 ㅋㅋㅋㅋ 올해 최단 기록으로 100만 돌파했다던데|G
초속 5센티에서 느낀 이루어지지 않은 사랑에 대한 정서 떄문에 분명 신카이 마코토 감독은 나와 어떤 공통점이 꼭 있을 거라는 생각을 하고 아무리 찾아봐도 별 게 없었는데 없어진 장소에 대한 마음 이야기 하니까 비로소 뭔가 아하 하는 느낌이 들었다.|B
신카이 작가님 트위터 가보면 갑자기 김치사발면 사 먹은거 올리고 그러시던데 진짜 극호감 ㅋㅋㅋ|B
이번에 스즈메 연기 좋았어요 ~!!|G
영덕에 축산이라는 곳이 있는데… 정말 멀지만 거기는 바다랑 산이 둘 다 있어서 정말 멋져요 바다도 깨끗하고, 위에 다리도 있고, 하천과 바다가 이어져있어서 하천에는 청동오리들도 볼 수 있어요 완전 시골 그자체랍니다 감덕님이 못 보실게 분명하지만 이 댓글을 본 분들은 기회되면 가보세요! 대게랑 물가자미가 유명한데 저는 개인적으로 태화식당이라는 것 물회가 진짜 맛있었어요!! 꼭들 가보세요~!|G
한국억지로 집어넣으면 작품질떨어져요 감독님중국묻은 헐리웃영화같이 됩니다한국중국은 최대한 멀리할수록 성공합니다|B
너의이름은 은 세월호와 연관있다고 하셨는데.엄청 친한파시인듯|G
꼭 한국에 다시 와주세요❤|G
곧 한국에 다시 오시겠네요! 올해 초여름에 만나요 ㅋㅋㅋ300만 금방이지!!!|G
오 머야 한국어 발음 왤케 좋으심 ㅋㅋㅋㅋㅋ|B
전주나 담양도 좋을 것 같은데요|G
한국도 일본처럼 고유한 문화가 많은데, 이런 문화를 맛깔나게 표현해주시면 여한이 없을듯|G
감독님 스즈메의 문단속 진짜 너무 좋았습니다!:&gt;|G
5백만 가즈아~~|B
감독님 진짜 젠틀하시네 ㅋㅋ 옆에 있는거처럼 시원한 남자향수가 느껴짐|G
지방도 와주세요 그러면 만나려 가고 싶어요|G
좀 먼 곳이긴 하지만 경남 합천군이 저의 고향이면서 제일 멋진 시골이라고 생각합니다. 밤에는 은하수가 밤하늘을 수놓고 높은 산도 있고 초계면이 정말로 운석이 떨어진 곳에 마을이 조성 되어 있어서 꼭 오셔서 마을을 높은 산에서 구경하셨으면 좋겠어요. 산등성이가 마을을 둥글게 둘러싼 모습이 정말 이토모리 마을 같답니다!봄에오시는걸 추천드릴께요. 봄엔 벚꽃이 정말 아름답게 흐드러지게 피거든요. 여름에 오셔도 정말 어딜가든 푸른녹음이 짙게 흩어져 일본과는 전혀 다른 낭만을 느끼실 수 있을것 같습니다. 가을에는 아주 적은 수 이긴 하지만 반딧불이도 자주 보이고요! 신카이마코토 감독님 정말 사랑합니다!!|G
남얀주 사람으로써 너무 좋다..|G
이번주에는 무조권 보려간다|G
성우누나 이뻐요|G
작화를 1순위로 보는 사람 입장에서 신카이마코토 감독의 애니는 항상 기자려집니다|G
한번 더 보러 가야겟다|G
동대문 사장님들 저분들께 사기치면 저희 팬들한테 치여요 조심하십쇼!|B
저는 집앞 CGV가 없어진게 너무 슬퍼요.|G
질문 수준이 왤케 낮음?..;; 뭐 성덕을 설명하고 앉아있노 ㅋ|B
오 질문 뽑혔네요(DCD4~ 아이디였습니다). 감독님 답변이 듣고싶던 질문인데 채택 감사합니다.|G
제주도 와주세요,, 너무 아름다운 곳이기에 좋은 영감을 받을 수 있을겁니다 ㅎㅎㅎㅎ|G
오호  기대된다😊😊|G
빨리 좋은 차기작으로 뵙고 싶네여|G
산골짜기 시골은 강원도(대관령이나 동해바다 쪽)나 제주도(서귀포)가 예쁘고, 넓은 지평선이 보이는 시골은 전라도(김제나 나주평야) 쪽이 예쁩니다!!|G
감독님 담백한 로맨스가 보고싶어요...초속 5cm 언어의 정원 못잊어...|G
한국시골은 이쁘다기보단 지저분해서 사실 작화의맛은 안살듯 ㅇㅇ|G
감독님 왜 이렇게 귀엽냐구요...|G
다이진 너무 귀여운데 굿즈 만들어주세요 제발요..|G
하라 나노카를 보면 오래전  이이지마 마리 이미지가 있다|B
스즈메 성우 김향기씨인줄 알았네요 ㅋㅋㅋ 닮았네|G
한국과 개연성 있다는건 억지 아닌가 생각이 들지만 아무튼 이렇게 한국을 좋아하는 두 사람 그 마음 변치않았으면 좋겠네한국을 좋아하는 일본인 특징이 한국이 좋아서 왔다가 실체를 깨닫고 실망하거나 되려 혐한으로 돌아선 일본인들도 있었으니까|G
ㅇㅋ n차 관람 갑니다..|B
감독님 코가 커요|B
성우님 약간 리즈닮음|B
개연성 타령좀 그만 봤으면|B
성우 어디서 봤나했더니 진범인 플래그 딸이네요 여전히 예쁘네|B
영화 애니 감독 G.O.A.T|B
17년째 거주중인 남양주 존버............|G
완전 성인 취향 로맨스물 하나 만들어줬음 좋겠다 언어의 정원 + 그녀와 그녀의 고양이 같은|B
무슨 남양주 배경 신작입니까.. 이러지 마세요..|B
나노카 너무 이쁜거 아니야??|B
스즈메 성우해주신분 얼굴 엄청 작고 예쁘시다 ㅠㅠ 영화관에서 봐야하는데... 볼 시간이 없는...ㅠㅠ|B
날씨의 아이랑 기생충??|G
감독님이 남양주라고 하셨죠? 메모....|B
감독님 항상 좋은 작품 만들어 주셔서 감사합니다|G
300백만은 충분|B
한국 배경 할거면 옛날 한국이랑 현대 한국 타임리프물이나 한국 일본 와리가리도 괜찮을 듯 다음작 너무 기대되요신카이 감독님 근데 다음작에는 클라이맥스에 음악 넣어주세요 ㅠㅠㅠㅠㅠㅠㅠ|G
두번보고 왔습니다 두번째가 더 잼있었던거 같아요 3번 볼껍니다 극장에 걸려있을때|G
한국에 또오면 좋겠당!!|G
시골 배경으로 하면 살인의 추억 찍어야 하는데 ㅋㅋㅋㅋ|B
CGV 어그로 존나잘끄네 썸네일보고 남양주 배경 신작 나오는줄 알았다|B
한 번 더 와야겠네|G
수하리 한번 검색해보세요 감독님이 동네를 배경으로 만들어진 3d 극장판(별의 정원)도 있을 만큼 풍경이 좋은 곳이예요|G
와 하라 나노카 성우가 저러케 귀엽고 이뻐도돼요????|G
오늘 스즈메 보고 왔는데한마디로 정리..&quot;신카이 마코토 그는 신이야!&quot;|G
하...예비군...|B
정상훈이 나온줄 ㅋ|B
다음 작품 배경은 남양주로 ㅋㅋㅋ|G
서울에또와주세요|G
특전달라고 좀|B
질문들 꽤 괜찮게 잘했다|G
앞으로 10편 더 만들어주세요 신카이마코토 너무조아요|G
다른건 안보이고 스즈메 성우역 저누나밖에 안보이네 전형적 스시여자 너무 순종적인 느낌 좋다|G
너~무 멀고 끝에 있는 지역이라 오시기는 많이 어렵겠지만 &#39;전라남도 영암&#39;! 추천합니다 ㅎㅎ 볼 것도 많이 없고 거리도 한적한 지역이에요. 하지만 월출산이 너무 예뻐서 정상에서 보는 풍경은 참 아름답습니다~! 아주 아주 시골이라 밤하늘 올려다보면 날씨가 좋은 날에 별이 가득 넘치게 보여요. 거의 농촌으로 이루어진 곳이라 소개하고 싶었네요! 신카이 마코토는 신입니다. 이번 스즈메의 문단속도 너무 너무 벅차게 보고 왔어요 최고!|G
아...그 책상들과 창문으로 넘어오는 바람... 저녁노을.... 그 중학교 였군요...제가 보며 느꼈던 저의 모교와 같은 디자인이 아님에도 그리움 이라던가 더이상 그것을 느낄 수 없다는 슬픔 같은게 제가 느끼는 모교와 같은것이 느껴졌습니다. 너무나 아름답고 인상적이었습니다. 단순한 실사 영상이라면 그것을 느낄 수 없었을 겁니다.|G
진짜 재밌어요!!!!! 극장에서 봐야 할 영화입니다!!!!!!|G
신카이 마코토 감독은 강원도를 가야겠네....|B
300만 돌파하면 남돌비로 무대인사를...?|B
에?? 남양주요??|G
감독님 한국 꼭 다시오셔서 푹쉬고갔음 좋겠다|G
코 진짜 크다... 호에엥|B
대림동 추천|G
여명808 얼마나 사가시려나 이번엔|B
도쿄말고 다른 지역도 다뤄주면 좋겠음|G
5백만정도는 무난할거 같다.기대된다.|G
나의 고향 남양주!!!!!!|B
