	Unnamed: 0	comment	like_num	dislike_num	sentiment
0	227	카카오맵 별점이 유독 짜더라고요 ㅋㅋ	129	0	G
1	172	카카오맵 은근히 유용한 기능이 많더라고요! 특히 지하철 승하차 알림 진짜... 안 지 얼마 안되었는데 진짜 유용하더라고요지하철에서 이어폰을 많이 쓰는 저한테는 더더욱 도움이 되었던.!!!	38	0	G
2	199	제주 살아서 초정밀 버스 지원 되는데, 버그들이 좀 있지만 굉장히 유용해서 좋습니다!	21	0	G
3	128	저는 잇섭님께서 언젠가 구글 지도, 애플 지도를 다뤄주시길 기다리고 있습니다… 물론 이번 영상도 잘 봤습니다!	20	0	G
4	62	카카오맵 승하차 알림이 진짜 개편함 몇년전에 벨모양 우연히 눌러서 처음 알게됐는데 버스탈때 ㅈㄴ 유용함	12	0	G
5	186	01:14 갤럭시 유저의 경우 워치와 휴대폰이 연동되어서 더 편하게 쓸 수도 있습니다! 최근 카카오맵 갤럭시 워치 어플이 새로 생겼거든요. 휴대폰에서 승하차 알람 설정해두면 휴대폰에서 다른 걸 해도 워치에서 알람을 주니까 놓치지 않게 되더라구요	11	0	G
6	106	형 해외 살다가 곧 여름에 한국으로 다시 가는데 지도앱을 뭐 쓸까? 이러고 있었는데 형 덕분에 많은 도움이 될 것 같아! 고마워❤	10	0	G
7	183	카카오맵 솔직히 버스 안타던 입장으로써 버스 노선만 알려주는거만 해도 goat임 미쳤음	8	0	G
8	182	구글맵 한국 서비스나 됬으면 좋겠다...	8	0	G
9	225	이 영상 덕에 카카오맵으로 갈아탑니다…!	7	0	G
10	121	7:45 별점관련해서 저렇게 해두는게 좋다고 느낀게..국내에서 여행가서 밥집 찾다가 아쉬운적이 많은데. 일본가면 다들 별점을 짜게 줘서 그런지타베로그 2.5만 넘어도 맛집이라 믿고 가서 좋았던거같네용..	7	0	G
11	223	나만 알고 있었는데.. 형 덕분에 모두가 알게됐네......(네이버 쓰다가 화나서 카카오로 갈아탄 사람 입니다)	6	0	G
12	174	카카오맵 쪽은 아니지만 카카오에서 일하고 있는 개발자입니다. 잇섭에서 뜬금 회사 이름이 붙어있어서 반가운 맘에 바로 눌렀네요😂😂😂 카카오맵 애용해주셔서 감사합니다~	5	0	G
13	166	카카오맵 저를 포함해 정말 많은 분들이 사용하시는 걸로 알고 있는데 그에 대한 꿀팁이라니 오늘 정말 유용한 팁들 많이 얻어 갈 수 있을 것 같습니다.	4	0	B
14	99	3:54 약속시간을 정한다기보단 위치 공유를 유지하는 시간으로 보시면 됩니다 행님 😉춘천시민으로써 초정밀 버스 개꿀👍	4	0	G
15	44	와이프 보기 전에 영상 내려주세요.	2	0	G
16	80	구글처럼 이동경로 히스토리도 만들어 주세요내가 이날 어디 갔고 그날 어디서 멀 먹었으며그날 누구랑 만났고 무슨 일을 했는지 지도에 기록 하고 싶어요.	2	0	B
17	211	제목에서 광고의 느낌이 났다!!	2	0	B
18	185	왜 꿀팁은 항상 숨겨져있을까… 공개되면 안되나 ㅎㅎ	2	0	G
19	25	다음맵부터 써왔는데 좋음.역이 어딘지 몰라서 알고 싶을 때 직전역이 아니더라도 빨간색으로 깜빡이면서 현재역 표시해줘서 좋음바라는 점이 있다면 즐겨찾기 기능 강화해줬으면A정류장에 a,b,c,d 버스 중 a,b만 표시, 환승 B정류장에는 e,f 버스만 표시되게 가능하면 좋겠고그 경로를 즐겨찾기 가능했으면 좋겠음 ㅜㅜ 회사 출근할떄마다 회사 찍고 원하는 경로 찾아서 하차알림 누르기 번거로움....여기에 주문/포장 결제도 가능한 시스템 만들어 주면 좋을거같은데회사에서 점심 먹을 때 미리 예약하는거 중요한데 지도앱에서 하고 싶어요 근데 소상공인들이 카카오를 안좋아하더라고여... 네이버에 비해 수수료가 한참 비싸다고	2	0	B
20	178	승하차 알람 추가로 이어폰 꽂으면 음성으로도 알려줍니다(언급이 없길래 ㅎㅎ)	2	0	G
21	173	전설의 상대방 위치 확인 앱 오빠믿지 기억하는 사람✋🏻	2	0	G
22	98	어메이즈핏으로 카카오맵 승하차 위치알림 알림 받으면서 꽤 오래 잘 써왔어요. 근데 전엔 하차하기 2정거장 전에 알림을 줬는데 올해 초?부터 도착까지 남은 시간을 1분? 간격으로  계속 알려줘서 불편합니다... 그래서 잘 쓰던 승하차알림 못쓰고 있어요.. 갤워치나 애플워치는 이런 불편 없으신지... ㅠㅠ 잇섭님 덕분에 어메이즈핏 mini 넘넘 잘 쓰고 있었는데 카카오맵 등판한 김에 남겨봅니다 ㅠㅠㅋ	2	0	G
23	196	카카오맵이 좋긴 한데 제가 사는 지역에는 가게 오픈 시간이나 리뷰 사진 같은게 부족해서 네이버 지도를 더 자주 쓰게 됨.....	2	0	B
24	193	네이버지도 리뷰는 다 돈받고 하는거라 믿거 하고 카카오맵 써야됨 ㅋㅋ	2	0	B
25	189	잇섭님만 믿고 카카오맵 깔러갑니다	1	0	G
26	190	굿😊 😅폼미쳤 다	1	0	G
