	comment	replie	like_num	dislike_num
0	뭐야.. 얼마만에 ㄹㅇ 본 직업에 충실한 모습.. 돌아왔구나 봉태식이..멋있다	[]	45	0
1	피파 강의해주는 유방훈은 또 색다르네… 반하겠어 형…	[]	16	0
2	개인기 진짜 잘하네 작년에 퍼터 처음 보여줄때보다 훨씬 재밋게 잘봣어 형	[]	10	0
3	패치되면 어떤 플레이를 보여줄지 너무 기대된다	[]	57	0
4	파워슛은 e football에 있는 stunning shoot이링 원리가 같네요.게이지를 알맞게 채우면 강하고 정확하게 나가지만 반면 미들이나 공격수가 차야 정확도 높은 슛이 나가고 게이지를 채우고 슛하기까지 동작이 시간이 꽤나 걸려서 확실한 오픈 찬스에서 써야 한다는 점이 피파4에 생기니 게임 플레이가 더 다채로워지길 기대해봐도 되겠네요.	[]	7	0
5	이 사람만큼 박스 언저리에서 재밌게 게임 하는 사람 잘 없는데 봉훈이 ㅈㄴ 재밌겠다ㅋㅋㅋㅋ	[]	42	0
6	ㅋㅋㅋㅋㅋㅋㅋ근데 ㄹㅇ 이렇게 피파판이 바뀌어버리면 진짜 봉훈이형이 탑 먹을수도	[]	17	0
7	무슨 개인기게? 하고 물어봐놓고 안알려주는 유방훈 폼 미쳤다	[]	52	0
8	설명 진짜 잘하네 예습도 잘하고 개굿	[]	4	0
9	진짜 맛있는 패치지만 근본적인 문제들이 먼저 고쳐졌으면 하는 바람입니다	[]	4	0
10	박스 안에서 개인기 -> 커서 풀려서 수비 얼타고 먹힘 or 상대가 얼타서 하드태클 후 pk개인기 여러개 섞으면서 잘쓰는게 개사기일듯	[]	12	0
11	이번에 패치되면 봉훈의 무지성침투 시리즈 하면서 올려주면 좋겠다 ㅋㅋㅋ	[]	5	0
12	패치좋긴한데 너무어렵다 ㄷㄷ 적응기간 꽤 걸릴듯	[]	1	0
13	1:10 봉훈이 눈빛 미쳤네	[]	28	0
14	다른것보다 대각 침투를 보자마자 바로 패드부터 주문넣었읍니다... 피파도 나온지 좀 됐는데 조금이라도 뇌가 어리고 싱싱할때 패드 익힐걸 ㅜㅜ	[]	2	0
15	근데 ㄹㅇ 얼마 하지도 않았는데 저렇게 하는거모면 패치되면 ㅈㄴ 잘하겠네	[]	1	0
16	다시 프로 복귀하자 봉훈이형	[]	0	0
17	편집 깔끔하다 보기 편함	[]	2	0
18	빌드업 안풀릴때 sq로 삼각형태 만들어서 풀어가거나 사이드로 침투시켜서 완전 맨시티 축구 할수있고3백이 살아날수있다는 희망이 보임 이유는 지금 사이렌이 예전만하지않고 미드에 완전 풀어놓으면 사이드 말곤 못 뚫으니까	[]	0	0
19	sq가 진짜 실축 구현 잘될듯 크레스포 이런거 부활할것도 같고	[]	0	0
20	이젠 프로경기 보면 진짜 재밌겠는데 ㅋㅋㅌㅋ	[]	0	0
21	형님 안토니턴 중간에 뛰면 캔슬되서 방향전환으로 쓰기가능하던데 농락용으로 함 보여주십셔	[]	0	0
22	내년 섭종 예상했는데 진짜 더할수도있겠네 ㅋㅋ 넥필하는거보니 끝물게임이라고는 안느껴짐	[]	1	0
23	침패침 필수가 아니게 된거는 좋은듯 다른 코치들 너무 무쓸모였음	[]	2	0
24	어이 유봉훈이 20만 미리 축하한다우	[]	1	0
25	피파계의 스티브 잡스 봉짱	[]	1	0
26	공격에서 이렇게 다양해지면 오히려  수비면에서는 까다로울 것 같애용..ㅜㅜ수가 많아져서..	[]	0	0
27	이 형 본가 ㅈㄴ잘할거가튼데	[]	0	0
28	퍼터 칠 때 침투 방향키 켜지는 건 좀 킹받던데	[]	2	0
29	근데 사실 막상 나와 봐야 알듯. 본가도 수동침투 처음엔 ㅈㄴ 각광 받았는데 막상 나중엔 엘리트 디비전에서도 수동침투 잘 안씀. 근데 본가랑 메타가 너무 달라서 피온에선 필수 개사기 스킬이 될지도?	[]	8	0
30	제 2의 전성기가 온다 ㄷㄷㄷ	[]	0	0
31	여러가지 생기는건 좋긴한데 본가처럼 스탯 상한선도 없이 저런기술들 추가하면 그냥 소림축구될듯	[]	0	0
32	유정훈 진짜 패치되고나면 1티어중에 황제되겠네	[]	0	0
